BOROUGH,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,BUILDING TYPE
Manhattan,5,0,5,0.00038620722276092045,0.0017170746274228017,1900,6625000.0,RESIDENTIAL
Manhattan,10,0,10,0.0005373317881891067,0.0018114604066320674,1913,3936272.0,RESIDENTIAL
Manhattan,6,0,6,0.000560272449920772,0.001230481274154694,1900,8000000.0,RESIDENTIAL
Manhattan,8,0,8,0.00041387791783932076,0.0011267635676224781,1920,3192840.0,RESIDENTIAL
Manhattan,24,0,24,0.001061655984674692,0.004938722565800086,1920,16232000.0,RESIDENTIAL
Manhattan,10,0,10,0.0008790766974907173,0.003292837212526646,2009,10350000.0,RESIDENTIAL
Manhattan,24,0,24,0.0009769883877681338,0.00447292607913741,1928,11900000.0,RESIDENTIAL
Manhattan,3,1,4,0.00035948253435186717,0.0008958650230032008,1910,3300000.0,MIXED USE
Manhattan,4,1,5,0.0005205401698081971,0.0014952413836315328,1900,7215000.0,MIXED USE
Manhattan,5,1,6,0.0004207364661920867,0.0009899841757175251,1910,4750000.0,MIXED USE
Manhattan,0,1,1,0.00028805903081616723,0.0009561226108599637,1899,3700000.0,COMMERCIAL
Manhattan,1,0,1,0.00046709079299009056,0.001027845137999208,1901,7425000.0,RESIDENTIAL
Manhattan,1,0,1,0.0003755646477307665,0.0015072395759038971,1900,10.0,RESIDENTIAL
Manhattan,1,0,1,0.0003755646477307665,0.0015072395759038971,1900,10.0,RESIDENTIAL
Manhattan,1,0,1,0.0003755646477307665,0.0015072395759038971,1900,10.0,RESIDENTIAL
Manhattan,2,1,3,0.0005084785847740226,0.0013272666918184327,1920,7750000.0,MIXED USE
Manhattan,3,0,3,0.0005839226166544474,0.0009931836936568224,1901,8300000.0,RESIDENTIAL
Manhattan,6,1,7,0.00034600193931367217,0.0010030488739696552,1901,16000000.0,MIXED USE
Manhattan,4,0,4,0.00048648392971170444,0.0007705505703807294,1910,5950000.0,RESIDENTIAL
Manhattan,24,0,24,0.0005456093465458932,0.0011998192272364297,1900,7375000.0,RESIDENTIAL
Manhattan,4,0,4,0.00048648392971170444,0.0008110777976118265,1900,8000000.0,RESIDENTIAL
Manhattan,22,2,24,0.000610410803396164,0.0034810755179552947,1901,14100000.0,MIXED USE
Manhattan,9,0,9,0.0003703616110493579,0.0016877457129792445,1901,1583840.0,RESIDENTIAL
Manhattan,9,0,9,0.0003703616110493579,0.0016877457129792445,1901,416790.0,RESIDENTIAL
Manhattan,9,0,9,0.0003703616110493579,0.0016877457129792445,1901,630370.0,RESIDENTIAL
Manhattan,9,0,9,0.00047986188302627536,0.0022769902667998023,1920,29400000.0,RESIDENTIAL
Manhattan,8,1,9,0.000610410803396164,0.0020396926863019307,1920,6450000.0,MIXED USE
Manhattan,15,1,16,0.0004912139630584395,0.0016890788454539515,1901,5500000.0,MIXED USE
Manhattan,8,1,9,0.0004616512546413452,0.0015877607773762087,1920,5750000.0,MIXED USE
Manhattan,8,0,8,0.00047300333467350944,0.0010931686292598582,1910,3485000.0,RESIDENTIAL
Manhattan,6,1,7,0.0005839226166544474,0.005303734237374902,2014,4600000.0,MIXED USE
Manhattan,30,2,32,0.002377551261736395,0.02103203117396979,2014,2341975.0,MIXED USE
Manhattan,24,0,24,0.0010879076697490717,0.003252843238285432,1850,282000.0,RESIDENTIAL
Manhattan,4,1,5,0.00044344062625641513,0.0013931234360689657,1910,10581818.0,MIXED USE
Manhattan,3,1,4,0.0002710309107679209,0.0008902658666094308,1910,10.0,MIXED USE
Manhattan,4,2,6,0.0005912541683418868,0.0011856880230045339,1910,8250000.0,MIXED USE
Manhattan,0,3,3,0.00032164226757798643,0.0010878360993610296,1900,17300000.0,COMMERCIAL
Manhattan,1,1,1,0.0015296927843341296,0.0037477020128967235,1953,42400000.0,MIXED USE
Manhattan,0,13,13,0.002335453964950453,0.030145324771067825,1906,150000000.0,COMMERCIAL
Manhattan,0,5,5,0.0005839226166544474,0.0027329215731496455,1930,10150000.0,COMMERCIAL
Manhattan,0,1,1,0.0009341815859801811,0.002106349310037288,2013,10750000.0,COMMERCIAL
Manhattan,0,1,1,0.00039614029278906416,0.0010422429687260452,1910,8818181.0,COMMERCIAL
Manhattan,0,1,1,0.0008987063358796679,0.0010131806807774295,1910,20000000.0,COMMERCIAL
Manhattan,0,4,4,0.004670907929900906,0.010531746550186438,1932,107250000.0,COMMERCIAL
Manhattan,2,2,4,0.000375091644396093,0.0011387617598948424,1920,10600000.0,MIXED USE
Manhattan,1,5,6,0.0004441501312584254,0.0029995480680910743,1910,10500000.0,MIXED USE
Manhattan,0,3,3,0.00043800108790766973,0.0010611734498668867,1920,9174156.0,COMMERCIAL
Manhattan,0,19,19,0.001167608731641558,0.012117907568592998,1921,33000000.0,COMMERCIAL
Manhattan,0,1,1,0.002323865383250952,0.03259135623566049,2010,139725000.0,COMMERCIAL
Manhattan,0,1,1,0.00053709528652177,0.0014024553633919157,1900,4300000.0,COMMERCIAL
Manhattan,0,10,10,0.004086985313246459,0.04552647401124897,1900,92007576.0,COMMERCIAL
Manhattan,0,1,1,0.0029191400799375637,0.005647949042344287,1920,50350000.0,COMMERCIAL
Manhattan,35,0,35,0.0005903081616725398,0.0015469669236501701,1920,7995000.0,RESIDENTIAL
Manhattan,11,3,14,0.0005628739682614763,0.0021186141288045933,1915,8275000.0,MIXED USE
Manhattan,28,2,30,0.0011893668850365396,0.005672212053383957,1918,4250000.0,MIXED USE
Manhattan,6,1,7,0.0005912541683418868,0.0026222715777489526,1890,10.0,MIXED USE
Manhattan,0,2,2,0.0008506964974103067,0.0057543330138259165,1920,19000000.0,COMMERCIAL
Manhattan,0,14,14,0.0006692997185630159,0.003799427552915361,1915,9375000.0,COMMERCIAL
Manhattan,1,3,4,0.0002109594872643852,0.000475661666975509,1920,3000000.0,MIXED USE
Manhattan,2,2,4,0.00032164226757798643,0.000872935144438238,1920,4350000.0,MIXED USE
Manhattan,0,2,2,0.00025967883073575666,0.000723091054281155,1915,2700000.0,COMMERCIAL
Manhattan,0,1,1,0.000579429084975049,0.0022796565317492164,1910,6780000.0,COMMERCIAL
Manhattan,0,8,8,0.0008194782773218552,0.005590624345931879,1900,15500000.0,COMMERCIAL
Manhattan,7,1,8,0.0006227088900976752,0.003199517939297146,1915,141500000.0,MIXED USE
Manhattan,6,1,7,0.0010406073362817208,0.005823122649520805,1915,15000000.0,MIXED USE
